Data,Ticker,Abertura,Alta,Baixa,Fechamento,Volume
2023-01-02,ITUB4.SA,18.4309901212436,18.506434931908842,18.13675963342523,18.47625732421875,25674770
2023-01-02,PETR4.SA,13.742709602823005,13.900335411116393,13.310694828938152,13.380751609802246,78424700
2023-01-02,VALE3.SA,69.53979291947616,70.4964757336084,69.42216690446344,70.1043930053711,12783800
2023-01-03,ITUB4.SA,18.476258525349394,18.596968963957075,17.97832717465265,18.091493606567383,32861180
2023-01-03,PETR4.SA,13.39242837169982,13.485836673620664,12.919547590521406,13.042146682739258,96750300
2023-01-03,VALE3.SA,70.10439696412547,70.64546709140566,69.70447088358169,69.97892761230469,25332600
2023-01-04,ITUB4.SA,18.151854006404598,18.49889740788782,18.0160539327736,18.144309997558594,32869650
2023-01-04,PETR4.SA,12.820297574598168,13.771895917556478,12.744403767906059,13.456642150878906,129504000
2023-01-04,VALE3.SA,70.02597765626517,70.30043436948975,68.96734950385833,70.1043930053711,26395300
2023-01-05,ITUB4.SA,18.182025570987918,18.79312332454237,18.121670354553903,18.710134506225586,39955080
2023-01-05,PETR4.SA,13.625947552167627,14.034609660990824,13.515024788884531,13.941200256347656,73886000
2023-01-05,VALE3.SA,70.1514470096024,71.89229542888702,69.79073158674197,71.28064727783203,29085600
2023-01-06,ITUB4.SA,18.808209255720726,19.094897293494785,18.71013243558955,19.034542083740234,41391020
2023-01-06,PETR4.SA,13.976229382268196,14.198073798202437,13.74854569535855,13.859468460083008,51851500
2023-01-06,VALE3.SA,71.35904945044231,72.72349553400709,71.35904945044231,72.40982818603516,31420600
2023-01-09,ITUB4.SA,18.861023617461584,19.35895497273425,18.778034794436117,19.170345306396484,28236340
2023-01-09,PETR4.SA,13.719358269498683,14.011259509275252,13.573407649610399,13.935365676879883,46385200
2023-01-09,VALE3.SA,71.77466490847357,72.91954578307494,71.55509953289355,72.4882583618164,19285800
2023-01-10,ITUB4.SA,18.95909612855336,19.61545939048732,18.80066410829061,19.540016174316406,34528340
2023-01-10,PETR4.SA,13.982066930559016,14.075475218831686,13.643461607191925,14.063798904418945,52741100
2023-01-10,VALE3.SA,72.5274587213715,73.6331348459536,72.40983271069358,73.3822021484375,19821100
2023-01-11,ITUB4.SA,19.524929320329925,19.977595012374916,19.434396498496927,19.8795166015625,37615160
2023-01-11,PETR4.SA,14.098828684515926,14.373216543599876,14.040448217890738,14.174723625183105,53536500
2023-01-11,VALE3.SA,73.70370910361774,74.08795448236202,72.3471062229809,73.12342834472656,23834100
2023-01-12,ITUB4.SA,19.238246676990933,19.849342950440754,19.16280185231992,19.600378036499023,56127940
2023-01-12,PETR4.SA,14.180558495933127,14.390726568143029,14.075473903070915,14.379050254821777,58130000
2023-01-12,VALE3.SA,73.30378883223737,73.94680426134877,72.88033877169461,73.5076675415039,18058600
2023-01-13,ITUB4.SA,19.3212308120193,19.532474053709674,18.96664354631905,19.502296447753906,22840180
2023-01-13,PETR4.SA,14.268129888217617,14.396566005634487,14.157207128826224,14.344023704528809,40002700
2023-01-13,VALE3.SA,73.46845707672915,73.93111178370125,73.20968106297842,73.57039642333984,16905800
2023-01-16,ITUB4.SA,19.426856052867976,19.502300876329343,19.0798142970105,19.291057586669922,26929540
2023-01-16,PETR4.SA,14.250616052339995,14.303158355789375,13.912010715396589,14.0346097946167,31973700
2023-01-16,VALE3.SA,72.14322255038957,72.44904660214961,71.22575039510946,72.33926391601562,19563900
2023-01-17,ITUB4.SA,19.35896222777531,19.7286376922296,19.230707733230883,19.690916061401367,35529670
2023-01-17,PETR4.SA,14.075475561540301,14.957017277902647,14.075475561540301,14.898636817932129,91797500
2023-01-17,VALE3.SA,72.54314967291201,73.1077497714098,72.00991691129829,72.24516296386719,18719500
2023-01-18,ITUB4.SA,19.894609830339473,20.098309112388854,19.76635378882376,20.04549789428711,43697060
2023-01-18,PETR4.SA,15.085453386808636,15.196376149311323,14.59505930507688,14.63592529296875,69692900
2023-01-18,VALE3.SA,72.97441966231915,73.89189759457076,72.8567996554849,73.19398498535156,16737300
2023-01-19,ITUB4.SA,19.78898739413598,20.11339712734347,19.645644920545944,20.04549789428711,39042300
2023-01-19,PETR4.SA,14.595060261609557,15.149672996956612,14.472462289899108,15.114644050598145,75553300
2023-01-19,VALE3.SA,73.55472153670262,74.00169560349093,73.17831948865096,73.5076675415039,21712500
2023-01-20,ITUB4.SA,20.11340275874362,20.128492360803357,19.638104828513402,19.690916061401367,36889710
2023-01-20,PETR4.SA,15.11464286931494,15.52914312737709,14.840256158706644,15.394868850708008,114219500
2023-01-20,VALE3.SA,73.63314044123393,74.15852988178388,73.31947304982678,73.7037124633789,27103900
2023-01-23,ITUB4.SA,19.64564314497124,19.743719981952935,19.011911750787558,19.087356567382812,50487910
